"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Bizkaia, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Las Laceras,Barrio,Las Laceras,1,48800,Balmaseda,946 03 81 41,Pública provincial,88,nostrem.com/residencia-las-laceras,"43,197564","-3,204471",09/04/2019
Hogar Residencial Íñigo de Loiola,Calle,Aldapa,12 - 14 - 16 bajo,48901,Barakaldo,944 38 70 60,Privada,19,,"43,299966","-2,986344",04/04/2019
Centro residencial El Carmen - Apartamentos tutelados,Calle,Dársena de Portu,1,48901,Barakaldo,946 56 27 55,Privada,165,,"43,299932","-2,982226",04/04/2019
Complejo Residencial Santa Teresa,Avenida,de la Libertad,67 - 69,48901,Barakaldo,946 57 25 75,Privada,215,www.vitalitas.es/residencias/residencia-santa-teresa,"43,302234","-2,992813",04/04/2019
Residencia Nuestra Señora de Leire,Paseo,Dolores Ibárruri,6 - 8 - 10,48901,Barakaldo,946 55 56 01,Privada,35,,"43,298972","-2,983341",08/04/2015
Vivienda comunitaria C.I.S. C.,Calle,Parque de los Hermanos,s/n,48901,Barakaldo,944 18 45 00,Pública local,10,www.barakaldo.org/portal/web/accion-social/vivienda-comunitaria,"43,297455","-2,990310",09/05/2018
Residencia Santa Águeda,Calle,Sociedad Santa Águeda,1 - 3,48901,Barakaldo,944 37 87 14,Privada,16,www.residenciasantaagueda.eus,"43,300903","-2,984587",13/05/2019
Residencia Fundación Miranda,Avenida,Antonio Miranda,4,48902,Barakaldo,944 38 26 75,Privada,232,www.fundacionmiranda.org,"43,297854","-2,995614",12/07/2017
Sanitas Residencial Barakaldo,Calle,Eguskiagirre,8,48902,Barakaldo,944 78 30 20,Privada,217,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-barakaldo,"43,293891","-2,996682",06/07/2017
Hogar Residencial Beurko Berria,Calle,Luis de Castrejana,7,48902,Barakaldo,944 37 57 00,Privada,14,,"43,299358","-2,994508",08/04/2015
Residencia El Pilar,Calle,San Vicente,1 A,48902,Barakaldo,944 78 22 60,Privada,27,residenciaelpilarbarakaldo.wordpress.com,"43,295208","-2,991792",08/04/2015
Vivienda comunitaria San Telmo,Calle,Unbe,15,48620,Barrika,946 77 11 47,Privada,11,,"43,404857","-2,952880",08/04/2015
Residencia Barrika Barri,Calle,Bide Nagusia,7,48650,Barrika,946 77 44 77,Privada,105,www.residenciabarrikabarri.com,"43,401754","-2,966484",05/04/2019
Residencia Fundación Elorduy,Carretera,del Ayuntamiento,1,48650,Barrika,946 77 01 40,Privada,90,www.residenciamayoreselorduy.es,"43,406034","-2,961850",10/04/2019
Residencia San Miguel,Calle,Basauri,3 - 5,48970,Basauri,944 26 21 52,Privada,25,www.residenciasanmiguel.net,"43,220595","-2,885516",03/04/2019
Residencia Alai,Calle,Cataluña,38 - 52,48970,Basauri,944 26 16 43,Privada,18,,"43,238329","-2,879243",24/07/2017
Residencia Bidebieta,Calle,Cataluña,42 - 44,48970,Basauri,944 40 82 48,Privada,15,www.residenciabidebieta.es,"43,238087","-2,878869",08/04/2015
Residencia de ancianos Etxe Maitia,Calle,Nagusia,4,48970,Basauri,944 66 64 10,Pública local,50,,"43,235223","-2,888776",03/04/2019
Residencia Bizkotxalde,Calle,Uribarri,7,48970,Basauri,944 05 00 00,Pública provincial,120,www.vitalitas.es/residencias/residencia-bizkotxalde,"43,240948","-2,882508",01/06/2015
Residencia Jandoniz,Calle,Jandoniz,2,48390,Bedia,946 31 31 30,Privada,50,www.residenciaparamayoresjandoniz.es,"43,208615","-2,803329",04/04/2019
Vivienda comunitaria de 3ª edad Berango,Calle,Lehendakari Aguirre,10,48640,Berango,946 68 22 44,Privada,14,,"43,362820","-2,993452",24/04/2018
Residencia municipal y vivienda comunitaria Sancti Spiritus,Calle,Tonpoi Bidea,1,48370,Bermeo,946 17 91 66,Pública local,76,www.residenciasanctispiritus.org ; http://www.bermeokoudalarenzaharrenegoitza.org/,"43,422024","-2,722068",09/04/2019
Egoitz Alai,Calle,Zubiaur Tar Kepa,74,48370,Bermeo,946 02 98 86,Privada,62,www.egoitzalai.com,"43,419236","-2,739056",04/04/2019
Residencia Lorategi,Calle,Berastegui,5 - 1º dcha.,48001,Bilbao,944 23 35 26,Privada,14,grupolekuona.com,"43,262350","-2,927990",08/04/2015
Residencia Mazarredo,Alameda,Mazarredo,6 - 4º dcha.,48001,Bilbao,944 23 12 06,Privada,14,grupolekuona/residencia-mazarredo,"43,262603","-2,929101",11/05/2015
Vivienda comunitaria Iturrola,Calle,Rampas de Uribitarte,2 - 3º,48001,Bilbao,944 24 98 88,Privada,11,,"43,264525","-2,928999",09/08/2011
Residencia Rodríguez de Andoin IV,Calle,Alfredo Kraus,4 - bajo,48002,Bilbao,944 10 20 84,Privada,41,www.rodriguezdeandoin-4.net,"43,254636","-2,947983",05/04/2019
Vivienda comunitaria Amatxu de Begoña,Plaza,Alfredo Kraus,5 - bajo,48002,Bilbao,944 21 12 05,Privada,12,www.residenciaamatxudebegona.com,"43,254785","-2,947847",09/04/2019
Residencia Gazteluondo,Calle,Jardines de Intxaurtxueta,1,48002,Bilbao,946 56 78 85,Pública provincial,134,,"43,248683","-2,944662",07/05/2019
Residencia Lezeaga Basurto,Calle,Lezeaga,32,48002,Bilbao,946 55 47 98,Privada,48,residencialezeaga.com,"43,257936","-2,956762",09/05/2018
Vivienda comunitaria Zorroza,Carretera,Zorroza-Castrejana,46 - bajo,48002,Bilbao,695 79 05 59,Pública local,12,,"43,271627","-2,974583",11/04/2019
Residencia Conde de Aresti,Calle,Bruno Mauricio Zabala,22,48003,Bilbao,944 15 60 92,Privada,167,residenciacondearesti.com,"43,254746","-2,931910",03/04/2019
Vivienda Comunitaria Ibaizabal,Calle,Campa Iabizabal,3,48003,Bilbao,944 16 44 00,Privada,12,,"43,243854","-2,925917",17/04/2017
Piso tutelado Alkar Biziz Cortes,Calle,Cortes,7 - 1º A,48003,Bilbao,944 15 57 23,Privada,4,,"43,255161","-2,927898",24/04/2019
Residencia Anai Cantero,Calle,Donostia-San Sebastián,1,48003,Bilbao,944 16 95 58,Privada,27,,"43,250302","-2,926392",01/08/2017
Piso tutelado Alkar Biziz-Gimnasio,Calle,Gimnasio,8 - 1º B,48003,Bilbao,944 15 57 23,Privada,4,,"43,255512","-2,929778",24/04/2019
Piso tutelado Alkar Biziz - Indalecio Prieto,Avenida,Indalecio Prieto,14 - 2º A y B,48003,Bilbao,944 15 57 23,Privada,4,,"43,249950","-2,917208",24/04/2019
Centro asistencial Bilbozar,Calle,Vitoria-Gasteiz,12,48003,Bilbao,946 79 27 41,Pública provincial,137,www.igurco.es/pub/cast/bilbozar/bilbozar.htm,"43,254897","-2,927397",08/04/2019
Residencia Miravilla,Calle,Xenpelar,11 - bajo,48003,Bilbao,944 16 05 80,Privada,106,www.miravilla.com,"43,252644","-2,931762",31/03/2011
Residencia Zamakola 18,Calle,Zamacola,18 bajo,48003,Bilbao,944 15 39 01,Privada,17,www.grupolekuona.com/residencias/residencia-zamakola/,"43,250301","-2,922152",09/04/2019
Residencia Anai-Cantero III,Calle,Zamacola,79,48003,Bilbao,946 57 54 41,Privada,27,residenciaanaicantero.com,"43,241113","-2,920459",07/07/2017
DomusVi Arbidea,Calle,Arbidea,9 - bajo,48004,Bilbao,944 73 85 89,Privada,50,www.domusvi.es/residencia-de-ancianos-domusvi-arbidea,"43,255655","-2,908846",04/04/2019
Residencia Arbolantxa,Travesía,Arbolantxa,7 - bajo,48004,Bilbao,944 12 11 33,Privada,16,www.grupolekuona.com/residencias/residencia-arbolantxa/,"43,260697","-2,896314",09/04/2019
Anai Artean III,Calle,Fernando Jiménez,15,48004,Bilbao,944 73 00 34,Privada,24,www.residenciaanaicantero.com/index.html,"43,250813","-2,903734",09/05/2018
Residencia Txurdinagabarri,Calle,Fernando Jiménez Miembro de la DYA,8,48004,Bilbao,944 59 80 47,Pública provincial,228,www.personamayor.org/nuestros-centros/residencias/bilbao-residencia-txurdinagabarri,"43,250226","-2,905456",05/04/2019
Residencia Txurdinaga Gurena,Avenida,Gabriel Aresti,40 A,48004,Bilbao,944 02 25 70,Privada,207,www.gurena.com/txurdinaga.html,"43,260070","-2,905319",04/04/2019
Residencia Bolueta,Calle,Grupo Sagarminaga,9 - bajo,48004,Bilbao,944 73 86 30,Privada,21,,"43,248152","-2,911102",08/04/2015
Residencia Andia,Calle,Julián Gaiarre,7 - B - bajo,48004,Bilbao,944 73 20 19,Privada,15,,"43,251740","-2,903629",22/09/2015
DomusVi Miraflores,Avenida,Miraflores,17,48004,Bilbao,944 33 37 56,Privada,139,www.domusvi.es/residencia-mayores-vizcaya-bilbao-miraflores,"43,249450","-2,920250",11/04/2019
Residencia Izaro XXI,Calle,Pintor Losada,21 - bajo,48004,Bilbao,944 12 31 28,Privada,19,,"43,249469","-2,912426",08/04/2015
Residencia Anai Artean,Calle,Santutxu,40 - bajo,48004,Bilbao,944 33 35 79,Privada,19,,"43,251506","-2,915612",22/09/2015
Vivienda comunitaria Marán,Calle,Santutxu,42 - bajo,48004,Bilbao,944 32 00 38,Privada,14,,"43,251612","-2,915313",22/05/2015
Residencia Kirikiño,Calle,Torre Gorostizaga,2 - 4,48004,Bilbao,944 12 74 00,Privada,49,www.euskoges.com/residencia-kirikino/#residencia-kirikino,"43,253391","-2,910166",04/04/2019
Centro de Convalecencia II,Calle,Banco de España,3 - 3º dcha,48005,Bilbao,944 15 08 30,Privada,14,,"43,257888","-2,922999",14/05/2015
Vivienda comunitaria Ansola,Calle,Bidebarrieta,1 - 1º B,48005,Bilbao,944 15 73 04,Privada,14,www.residenciaansola.es,"43,259029","-2,924456",12/04/2019
Centro El Arenal,Calle,Correo,21,48005,Bilbao,944 79 00 00,Privada,45,www.residenciadevizcaya.com,"43,257706","-2,923411",09/04/2019
Vivienda comunitaria Casco Viejo,Calle,María Muñoz,2 - 1º D,48005,Bilbao,944 16 06 38,Privada,12,,"43,257590","-2,921780",12/07/2017
DomusVi Ribera,Calle,Ribera,5,48005,Bilbao,946 79 29 38,Privada,193,,"43,258937","-2,925863",04/02/2019
Residencia Mi Casa - Hermanitas de los Pobres,Calle,República de Begoña,1,48006,Bilbao,944 33 57 02,Privada sin fin de lucro,100,,"43,252532","-2,917669",05/04/2019
Residencia Begoñako Ama,Calle,Virgen de Begoña,"4 - 6, bajo",48006,Bilbao,944 16 71 33,Privada,25,,"43,260084","-2,918723",20/06/2019
Vivienda comunitaria Monte Sinaí,Calle,Zabalbide,25,48006,Bilbao,944 33 92 27,Privada,12,,"43,255192","-2,917631",07/07/2017
Vivienda comunitaria Aitenetxe,Calle,Campo de Volantín,21 - 6º,48007,Bilbao,944 46 06 60 / 679 26 52 92,Privada,14,,"43,266424","-2,926545",08/04/2019
Residencia Virgen de Begoña,Calle,Grupo Begoñalde,9 - 1º,48007,Bilbao,944 45 80 09,Privada,18,www.residenciavirgendebegona.com,"43,261800","-2,914870",05/04/2019
Residencia Jado Egoitza,Calle,José María Ugarteburu,22 - bajo,48007,Bilbao,944 45 05 17,Privada,17,www.residenciajado.es,"43,261509","-2,912318",04/04/2019
Residencia Fundadora Siervas de Jesús,Avenida,Universidades,7,48007,Bilbao,944 46 58 00,Privada sin fin de lucro,56,,"43,270268","-2,934366",17/04/2017
Residencia Ercilla,Calle,Zumaia,20 - bajo,48007,Bilbao,944 46 11 92,Privada,17,residenciaercilla.es,"43,263801","-2,915943",08/04/2019
Residencia Zurbaranbarri,Calle,Zurbaranbarri,2,48007,Bilbao,944 13 07 40,Privada,16,,"43,265022","-2,913148",25/07/2013
Vivienda comunitaria Bertendona,Calle,Bertendona,6 - 5º A,48008,Bilbao,944 15 59 42,Privada,8,,"43,260578","-2,931587",11/05/2015
Vivienda comunitaria Ayala,Calle,Canciller de Ayala,1 - 2º dcha.,48008,Bilbao,944 74 14 83,Privada,11,,"43,260721","-2,929124",12/04/2019
Vivienda comunitaria Irabel,Calle,Hurtado de Amézaga,3 - 2º izda.,48008,Bilbao,944 22 00 74,Privada,8,,"43,258695","-2,931387",08/04/2015
Vivienda comunitaria El Parque,Calle,Hurtado de Amézaga,13 - 1º izda.,48008,Bilbao,944 44 89 60,Privada,14,www.residenciaelparque.com,"43,258049","-2,932482",07/07/2017
V. C. Gurutxe,Calle,Hurtado de Amézaga,10 - 4º dcha.,48008,Bilbao,944 16 88 78,Privada,10,,"43,260150","-2,929417",09/04/2019
Residencia Ana Sánchez,Calle,Hurtado de Amézaga,48 - 1º izda,48008,Bilbao,944 22 29 03,Privada,9,,"43,257612","-2,933642",09/04/2019
Vivienda Comunitaria Nire Etxea II,Alameda,Urquijo,12 - ppal. dcha.,48008,Bilbao,944 15 99 91,Privada,14,,"43,260311","-2,931320",08/04/2015
V. C. Residencia Bizia 2,Alameda,Urquijo,18 - ppal. izda.,48008,Bilbao,944 10 90 43,Privada,14,,"43,259733","-2,933386",06/07/2017
Vivienda comunitaria Nire Amona,Calle,Diputación,3 - 1º dcha,48009,Bilbao,946 07 40 77 / 639 81 69 96,Privada,8,residencianireamona.com,"43,262900","-2,932031",09/05/2018
Vivienda comunitaria Gure Leku,Calle,Ercilla,8 - 1º izda.,48009,Bilbao,944 23 74 69,Privada,9,www.gure-leku.com,"43,264992","-2,930843",17/05/2018
Vivienda comunitaria Residencia Bizia,Calle,Henao,23 - 1º,48009,Bilbao,944 24 12 22,Privada,14,,"43,264884","-2,933552",10/07/2017
Vivienda comunitaria Lekuona,Alameda,Recalde,34 - 4º izda.,48009,Bilbao,944 23 66 64,Privada,14,grupolekuona.com/residencia-lekuona,"43,263806","-2,934749",11/06/2015
Vivienda comunitaria Goizargi,Alameda,Recalde,14 - 1º,48009,Bilbao,944 23 78 02,Privada,14,www.residenciagoizargi.com,"43,266032","-2,933864",04/04/2019
Vivienda comunitaria Garai II 2000,Alameda,Recalde,31 - 1º dcha,48009,Bilbao,944 24 31 02,Privada,11,www.residenciagarai.es,"43,263836","-2,934504",22/04/2019
Residencia Olimpia Egoitza,Calle,Egaña,12 - A,48010,Bilbao,944 22 30 01,Privada,150,www.residencia-olimpia.biz,"43,258324","-2,937958",21/08/2019
Indautxu Gurena,Calle,Gregorio de la Revilla,28,48010,Bilbao,944 44 34 04,Privada,70,www.gurena.com/servicios/cuidado/index.php,"43,259230","-2,941168",09/05/2018
Residencia Religiosas Angélicas,Calle,Pérez Galdós,5,48010,Bilbao,944 70 20 05,Privada sin fin de lucro,75,www.angelicas.org,"43,258746","-2,941472",01/07/2019
Residencia San Antonio,Calle,Pérez Galdós,19,48010,Bilbao,944 39 50 40,Privada,86,residencia-sanantonio.com,"43,259346","-2,944217",09/04/2019
Vivienda comunitaria Sagrado Corazón,Plaza,del Sagrado Corazón,1,48011,Bilbao,944 27 26 59,Privada,14,,"43,264912","-2,944826",11/05/2015
Vivienda comunitaria Gran Vía 49,Calle,Gran Vía de Diego López de Haro,49 - ppal. dcha.,48011,Bilbao,944 42 55 72,Privada,12,,"43,263522","-2,938074",11/05/2015
Vivienda comunitaria Bizkaiko Andra Mari I y II,Calle,Gran Vía de Diego López de Haro,51 - 1º izda y 5º dcha.,48011,Bilbao,944 27 62 94,Privada,26,,"43,263587","-2,938359",09/05/2018
Vivienda Comunitaria Astarloa Berri II,Calle,Gran Vía de Diego López de Haro,76 - 1º dcha.,48011,Bilbao,944 23 01 16 / 656 70 68 24,Privada,12,,"43,264982","-2,943441",20/04/2019
Vivienda comunitaria López de Haro,Calle,Gran Vía de Diego López de Haro,44 - 1º dcha,48011,Bilbao,944 23 52 44,Privada,14,,"43,263528","-2,936699",06/07/2017
Vivienda comunitaria Bilbao,Calle,Gran Vía de Diego López de Haro,64 - 1º izda.,48011,Bilbao,944 42 42 18,Privada,8,,"43,264607","-2,941582",28/07/2017
Vivienda comunitaria Moyua,Calle,Iparraguirre,26 - 3º izda.,48011,Bilbao,944 24 99 36,Privada,14,,"43,263962","-2,936238",06/07/2017
Vivienda comunitaria María Victoria,Calle,Máximo Aguirre,10 - 1º,48011,Bilbao,944 41 61 94,Privada,12,,"43,264258","-2,937528",08/05/2019
Residencia Ederra Berri,Calle,Máximo Aguirre,12 - ppal. izda.,48011,Bilbao,944 27 15 24 / 661 51 64 93,Privada,12,residenciaederraberri.com,"43,265399","-2,937263",07/07/2017
Vivienda comunitaria Aguirre,Calle,Máximo Aguirre,16 - 2º dcha - izda,48011,Bilbao,944 42 59 72,Privada,14,,"43,263175","-2,938032",08/04/2015
Vivienda comunitaria Bizi-Izukaitz,Calle,Máximo Aguirre,11 - 33º,48011,Bilbao,944 23 74 41,Privada,8,,"43,264193","-2,937363",10/04/2015
Vivienda comunitaria Alameda 2002,Alameda,Urquijo,45 - 2º,48011,Bilbao,944 21 72 19,Privada,13,,"43,260360","-2,938042",02/05/2019
Vivienda comunitaria Noa,Alameda,Urquijo,44 - 1º dcha,48011,Bilbao,944 44 46 43,Privada,9,,"43,260599","-2,938224",08/04/2015
Residencia Geriátrica Zure-Etxea Bilbao,Calle,Autonomía,71 - 1º,48012,Bilbao,944 27 57 35,Privada,27,www.gsr.coop/residencias-de-personas-mayores/residencia-de-personas-mayores-en-spanbilbao/span,"43,257662","-2,949817",09/04/2019
Centro geriátrico Abando,Carretera,de Basurto a Castrejana,31 - exterior,48012,Bilbao,944 39 92 64,Privada,41,www.gabando.com,"43,259235","-2,953405",09/04/2019
Geriátrico Loreak,Calle,Novia de Salcedo,30 - 3º,48012,Bilbao,944 27 76 04,Privada,22,www.geriatricoloreak.com,"43,257030","-2,949209",12/04/2019
Santa y Real Casa de Misericordia,Avenida,Sabino Arana,2,48013,Bilbao,944 41 19 00,Privada sin fin de lucro,237,,"43,264963","-2,947131",11/04/2019
Vivienda Comunitaria Garai,Alameda,Urquijo,76 - 2º,48013,Bilbao,944 41 23 33,Privada,11,www.residenciagarai.es,"43,261678","-2,943146",12/04/2019
Residencia Zorrozgoiti,Camino,Zorrozgoiti,23,48013,Bilbao,944 74 25 36,Pública provincial,140,www.igurco.es/pub/cast/zorrozgoiti/zorrozgoiti.htm,"43,274826","-2,976013",04/04/2019
Vivienda comunitaria Deusto,Camino,de Ugasko,5 - 1º B,48014,Bilbao,944 74 78 17,Privada,8,,"43,272090","-2,941403",08/08/2011
Residencia Ibarrekolanda,Plaza,Celestino María del Arenal,11 - 14,48015,Bilbao,944 91 15 13,Privada,33,,"43,276522","-2,957157",08/04/2019
Residencia Artxanda La Esperanza,Carretera,de Artxanda a Santo Domingo,13,48015,Bilbao,944 45 62 50,Privada,97,www.residencialaesperanza.com,"43,271196","-2,913543",07/05/2015
Caser Residencial Artxanda,Camino,de San Roque,38,48015,Bilbao,944 13 41 11,Privada,141,www.caseresidencial.es/artxanda,"43,275871","-2,916268",25/06/2019
Apartamentos tutelados Residencial Canarias,Calle,Islas Canarias,17,48015,Bilbao,944 76 28 35,Privada,112,,"43,275850","-2,961819",10/04/2015
Residencia Etxe Giroa,Calle,Islas Canarias,2,48015,Bilbao,944 75 32 66,Privada,17,,"43,275045","-2,960733",08/04/2019
Residencia Vitalitas Sarriko,Calle,Lehendakari Aguirre,138,48015,Bilbao,944 05 35 64,Privada,192,,"43,276102","-2,959477",08/04/2019
Residencia Anai Cantero II,Calle,Orixe,40,48015,Bilbao,944 00 31 09,Privada,65,,"43,282069","-2,959922",05/04/2019
Residencia Arrotegi,Barrio,de Axpe,64,48350,Busturia,946 87 00 03,Privada,89,www.fundacion-arrotegui.org,"43,383220","-2,697516",03/04/2019
Residencia Zelaiondo,Barrio,San Cristóbal,19,48350,Busturia,946 17 11 22,Privada,46,residenciazelaiondo.com,"43,368378","-2,693819",09/04/2019
Arratiako Egoitza - Herri Erakunde Autonomoa,,Barriada Ibarra Auzoa,17,48141,Dima,946 31 57 76,Privada,60,www.arratia.net/es-ES/Servicios/Arratiako_Egoitza/Paginas/default.aspx,"43,140097","-2,750573",03/04/2019
Residencia Piedadeondo,Barrio,Elexalde,8,48141,Dima,946 31 17 74,Pública local,22,,"43,143860","-2,753246",10/04/2015
"Residencia Tabira Berri, S. L.",Calle,Intxaurrondo,27,48200,Durango,944 66 88 52,Privada,18,,"43,162495","-2,629969",06/04/2019
Residencia Joxe Miel Barandiaran,Calle,Joxe Miel Barandiaran,1,48200,Durango,946 21 54 38,Pública provincial,113,www.personamayor.org/nuestros-centros/residencias/durango-residencia-joxe-miel-barandiaran,"43,167850","-2,633376",10/07/2017
Residencia Astarloa,Calle,Pedro Pablo Astarloa,1 - 1º dcha.,48200,Durango,946 20 38 14,Privada,24,,"43,168211","-2,629801",05/04/2019
Residencia Andra Mari,Callejón,Pedro Pablo Astarloa,1 - 4º izda,48200,Durango,946 03 25 31,Privada,25,,"43,168227","-2,629892",08/04/2015
Residencia Lagun Etxea,Calle,Jesús,2,48287,Ea,946 27 50 04 / 696 47 80 24,Privada,20,,"43,380312","-2,584377",26/07/2017
Residencia Elorrio,Calle,Ospitalkantoia,4,48230,Elorrio,946 58 26 54 / 946 58 32 31,Pública provincial,64,,"43,130254","-2,546373",07/05/2015
Residencia Martiartu,Carretera,de Goierri a Martiartu,34,48950,Erandio,944 63 47 83,Privada,14,www.residenciamartiartu.es,"43,338941","-2,961714",10/04/2019
Sanitas Residencial Loramendi,Carretera,de Leioa a Unbe,33 A,48950,Erandio,944 01 45 00,Privada,145,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-loramendi,"43,329639","-2,952672",05/04/2019
Igurco Unbe Residencia Sociosanitaria,Calle,Gorri,2,48950,Erandio,944 53 70 02,Privada,224,www.igurco.es,"43,320839","-2,941485",06/05/2015
Residencia Elizalde,Barrio,Ibáñez Betolatza,7,48950,Erandio,944 53 12 36,Privada,18,www.residenciaelizalde.com,"43,307506","-2,951179",03/04/2019
Hogar residencia San José,Plaza,J. A. Agirre Eta Lekube,11,48950,Erandio,944 03 67 00,Pública local,59,,"43,307976","-2,953123",10/04/2019
Vivienda comunitaria Osasun,Calle,La Avanzada,15,48950,Erandio,944 53 13 77,Privada,13,,"43,305106","-2,950198",08/04/2015
Apartamentos tutelados Erandio,Carretera,Leioa - umbe,33,48950,Erandio,944 67 62 50,Privada,98,,"43,329208","-2,952697",10/04/2015
Residencia Abeletxe,Calle,Abeletxe,4 - Bº Santa Ana,48260,Ermua,943 25 77 77,Pública provincial,135,www.vitalitas.es,"43,185279","-2,498949",04/04/2019
Igurco Residencia Calabria,Barrio,de Elexalde,34,48393,Forua,946 25 60 73,Pública local,44,www.igurco.es/pub/cast/calabria/calabria.htm,"43,330147","-2,677632",15/07/2017
Residencia San Andrés Usánsolo,Calle,Ander Deuna,33,48960,Galdakao,944 57 09 57,Privada,27,residencias-sanandres.com,"43,220291","-2,819469",21/04/2019
DomusVi Aperribai,Barrio,Aperribai Zaharra,9,48960,Galdakao,944 26 23 34,Privada,48,www.domusvi.es/residencia-de-mayores-domusvi-aperribai,"43,241921","-2,875050",04/04/2019
Residencia Usánsolo,Barrio,Gorosibai,24,48960,Galdakao,944 57 22 24,Privada,24,residenciausansolo.es,"43,219091","-2,812407",09/05/2018
Virgen de la Vega,Calle,Hermano Víctor,1,48960,Galdakao,944 57 30 67,Privada,27,,"43,229169","-2,853087",07/05/2015
Residencia Elexalde,Calle,Hermano Víctor,3,48960,Galdakao,944 57 33 35,Privada,19,,"43,229425","-2,852889",07/05/2015
Residencia San Andrés Zuazo,Calle,Hermano Víctor,17,48960,Galdakao,944 57 38 28,Privada,43,www.residencias-sanandres.com,"43,231113","-2,851465",07/07/2017
Residencia Santa Bárbara,Calle,Hermano Víctor,5,48960,Galdakao,944 56 00 69,Privada,32,residencia-santabarbara.com,"43,229605","-2,852753",08/04/2015
Geriátrico Aitzea,Barrio,de Ergoien,s/n,48113,Gamiz-Fika,946 15 33 44,Privada,36,www.geriatricoaitzea.es,"43,326938","-2,830856",08/04/2019
Gatikako Santa María Egoitza,Barrio,Igartua,40,48110,Gatika,946 94 10 31,Privada,27,www.grupolekuona.com/residencias/residencia-gatika/,"43,376889","-2,884946",04/04/2019
Residencia Torrezuri,Calle,Carlos Gangoiti,22,48300,Gernika-Lumo,946 25 82 88,Privada,27,www.torrezuri.com/residencia_bizkaia.html,"43,318234","-2,678500",14/03/2018
Fundación Residencia Calzada,Calle,Juan Calzada,30,48300,Gernika-Lumo,946 25 08 90,Privada,125,www.fundacionresidenciacalzada.com,"43,310315","-2,679785",05/04/2019
Residencia Bidearte,Calle,Bidearte,6 - bajo izda,48930,Getxo,944 64 72 45,Privada,19,,"43,326590","-3,013567",05/04/2019
Apartamentos 3ª edad de Getxo,Calle,Lope de Vega,12,48930,Getxo,944 66 01 50,Pública local,19,,"43,328038","-3,007325",17/04/2017
Apartamentos tutelados de tercera edad,Calle,Luis López Oses,3,48930,Getxo,944 66 01 50,Pública local,28,,"43,329933","-3,005100",08/04/2015
Vivienda comunitaria Eguski,Calle,Perune Barri,10,48930,Getxo,944 91 15 13,Privada,14,,"43,368611","-3,009818",08/04/2015
