"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Pontevedra, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de maiores de Marín,Calle,Ezequiel Massoni,9,36900,Marín,886 15 12 90,Pública autonómica,60,,"42,390147","-8,700776",04/04/2019
Hogar Residencial Alondra Mos,Camino,de Estivada,10,36416,Mos,986 33 91 04 / 679 70 07 09,Privada,20,www.alondramos.es,"42,190752","-8,631448",21/05/2019
Centro Residencial Doralresidencias,Avenida,del Rebullón,200,36416,Mos,986 37 46 11 / 986 37 46 12,Privada,159,doralresidencias.es/centro_residencial_de_atencion_a_personas_mayores,"42,182845","-8,665261",23/08/2019
Vivienda Comunitaria Alondra Mos II,Calle,San Juan,29,36417,Mos,986 33 66 70 / 679 70 07 09,Privada,12,,"42,214800","-8,626380",21/05/2019
Residencia Virgen de Guadalupe,Camino,de San cosme,17,36419,Mos,986 33 55 20,Privada,74,www.virgendeguadalupe.es,"42,157781","-8,673733",17/06/2015
Vivienda comunitaria A Fortaleza,Calle,Maceiras,4,36350,Nigrán,986 36 68 79 / 986 38 68 79,Privada,12,,"42,137592","-8,814210",08/07/2017
Fogar Residencial Bo Día,Calle,Paradellas,16,36350,Nigrán,986 36 59 10,Privada,15,www.bodia.es,"42,136419","-8,801279",29/09/2017
Residencia Stella Maris,Calle,Tomás Mirambel,8,36350,Nigrán,986 36 64 23,Privada sin fin de lucro,51,www.fundacionsanrosendo.es/residencia-stella-maris,"42,144675","-8,824758",08/06/2015
Residencia SERGE Bellavista,Calle,Medoña,6,36391,Nigrán,986 36 67 67,Privada,66,www.serge.es/bellavista,"42,166161","-8,797112",10/04/2019
Residencia gerontológica Mi Casa,,A Igrexa Amoedo,5,36841,Pazos de Borbén,986 49 75 15,Privada,58,www.residenciamicasa.es,"42,293952","-8,549726",14/03/2018
Ballesol Pontevedra Poio,Avenida,Antelo y Mariño,7,36163,Poio,986 83 49 99,Privada,129,ballesol.es/residencias-para-mayores-en-galicia/ballesol-poio/,"42,435733","-8,658453",07/07/2017
Vivienda comunitaria DIACOPEVI,Avenida,Pontevedra,49,36820,Ponte Caldelas,986 75 09 45,Privada,12,www.diacopevi.com,"42,389678","-8,506067",23/03/2018
Residencia de 3ª edad Santa Ana,Calle,Santa Ana,16,36860,Ponteareas,986 64 17 45,Pública local,32,,"42,175727","-8,504104",04/04/2019
Fogar Residencial El Retiro,Calle,Guilliade,8,36868,Ponteareas,986 65 37 74,Privada,22,,"42,172556","-8,491819",07/07/2017
Residencia SARAIVA Senior,Calle,Don Gonzalo,8 - 10,36002,Pontevedra,986 10 45 61 / 659 11 40 41,Privada,38,www.saraiva.es,"42,432328","-8,644576",03/04/2019
Residencia de Maiores de Campolongo,Avenida,María Victoria Moreno,26,36003,Pontevedra,886 15 93 56,Pública autonómica,136,,"42,425697","-8,644856",03/04/2019
Residencia Soremay,Calle,Pedro Sarmiento de Gamboa,1,36003,Pontevedra,886 20 20 00,Privada,87,www.soremay.com,"42,426108","-8,638640",07/07/2017
Vivienda comunitaria Virgen del Rocío I y II,Camino,do Gaio,13,36320,Redondela,986 45 40 25,Privada,24,,"42,255814","-8,667241",07/05/2015
Residencia de mayores Cesantes Redondela,Avenida,Mendiño,51,36693,Redondela,986 40 40 83,Pública autonómica,21,,"42,293137","-8,615590",26/04/2019
DomusVi Ribadumia,,Lugar do Freixo,s/n,36636,Ribadumia,986 71 63 21,Privada,152,www.domusvi.es/residencia-de-mayores-pontevedra-ribadumia,"42,515962","-8,751579",04/04/2019
Vivienda comunitaria Enxebre,,Lugar da Feira,18,36537,Rodeiro,986 96 47 97,Privada,12,fogarenxebre.es,"42,659072","-7,930698",03/04/2019
Residencia Ximará,Calle,Barral,20,36470,Salceda de Caselas,986 34 75 69,Privada,30,www.ximara.es,"42,109364","-8,549752",09/05/2018
Fogar Residencial Xardin Castro Lar,,Torrón,17 A,36470,Salceda de Caselas,986 34 97 19,Privada,19,,"42,091637","-8,552858",18/01/2019
Residencia geriátrica Salvatierra,Calle,Miño,2,36450,Salvaterra de Miño,986 66 40 01,Privada,108,,"42,081812","-8,500641",04/04/2019
Fogar San Miguel,,Ponte Rosende,24,36540,Silleda,986 58 15 85,Privada,18,fogarsanmiguel.es,"42,713872","-8,226282",23/02/2018
Centro Residencial Tomiño,,Lugar de Gándara,19 - B,36740,Tomiño,986 62 35 95,Privada,54,www.residenciatomino.com,"41,991278","-8,756613",04/04/2019
Residencia San Telmo,Calle,Antero Rubín,14,36700,Tui,986 60 02 22 / 986 60 09 96,Privada sin fin de lucro,125,,"42,047928","-8,641443",20/02/2015
Residencia Paz y Bien,Calle,Sarabia,8,36700,Tui,886 31 76 91,Privada sin fin de lucro,72,residenciapazybien.com,"42,048537","-8,649635",03/04/2019
Vivienda comunitaria Urzaiz,Calle,Urzáiz,28 - 2º izda.,36200,Vigo,986 09 09 13,Privada,12,www.atendo.es,"42,235134","-8,718507",11/05/2015
Residencia Santa Marta,Camino,de Sobreira,2,36202,Vigo,986 43 62 66,Privada sin fin de lucro,141,,"42,218406","-8,768186",11/07/2017
Ballesol Vigo,Avenida,Gran Vía,10,36203,Vigo,986 95 01 43,Privada,117,ballesol.es/residencias-para-mayores-en-galicia/ballesol-vigo,"42,233698","-8,717468",18/01/2019
DomusVi Barreiro,Avenida,Ramón Nieto,349,36205,Vigo,986 26 57 32,Privada,150,www.domusvi.es/residencia-de-mayores-barreiro,"42,229641","-8,679955",03/04/2019
DomusVi Vigo,Calle,Montecelo Baixo,31,36207,Vigo,886 14 21 87,Privada,120,www.domusvi.es/residencia-de-mayores-vigo,"42,243294","-8,703996",10/04/2019
Vivienda comunitaria Enteca,Calle,Quintela,27 - portal 4 - 4º B,36209,Vigo,986 11 94 14,Privada,7,enteca.es,"42,219441","-8,737221",10/04/2019
Residencia El Rocío,Calle,Vilagarcía de Arousa,11 bis,36209,Vigo,986 11 89 09,Privada sin fin de lucro,74,www.fundacionsanrosendo.es/residencia-el-rocio,"42,218794","-8,748720",12/04/2019
Fogar Residencial Bo Día Castrelos,Calle,Costa Castrelos,68,36210,Vigo,986 41 55 76,Privada,24,www.bodia.es,"42,209549","-8,720915",20/07/2017
Sanitas Residencial Vigo,Rúa,Do Conde,6,36210,Vigo,986 60 63 80,Privada,96,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-vigo,"42,219473","-8,726394",03/04/2019
Residencia Angélicas,Calle,López Mora,2,36211,Vigo,986 29 00 54 / 986 23 17 78,Privada sin fin de lucro,65,www.angelicas.org/ubicacion/vigo,"42,228021","-8,732334",11/04/2019
Hogar Residencial O Lecer Senior Care,Calle,Roupeiro,98,36213,Vigo,986 29 72 68,Privada,20,olecer.com,"42,237140","-8,717063",09/04/2019
Residencia de Atención a Personas Dependientes de Vigo II,Carretera,de Madrid,190,36214,Vigo,886 12 10 45,Pública autonómica,148,,"42,215685","-8,680905",04/04/2019
Residencia de Atención a Personas Dependientes de Vigo I,Calle,Monte Arieiro,68,36214,Vigo,886 12 02 85,Pública autonómica,306,,"42,213323","-8,679642",04/04/2019
Residencia da 3ª idade de Vigo Bembrive,,Monte Arieiro,140,36214,Vigo,986 26 58 81,Pública autonómica,150,www.domusvi.es/domusvi-bembrive,"42,212291","-8,675423",03/04/2019
Vivienda comunitaria Novo Lar Puga,Camino,Toutizo,17,36214,Vigo,986 48 33 59,Privada,9,www.novolarpuga.es,"42,208612","-8,696421",05/04/2019
"Residencia de la 3ª edad Moledo, S. L.",Carretera,Vella Madrid,61,36214,Vigo,986 26 49 10,Privada,45,www.residenciamoledo.es,"42,216791","-8,692198",04/04/2019
Fogar Residencial Agarimo Vistahermosa,Avenida,Aeroporto,150 C,36215,Vigo,699 27 28 14 / 886 09 19 61,Privada,18,agarimocentrovistahermosa.com,"42,231332","-8,688838",18/01/2019
Vivienda comunitaria La Palmera 3 y 4,Calle,Coutadas,10,36312,Vigo,986 29 20 87,Privada,18,,"42,243769","-8,704873",12/05/2015
Residencia geriátrica Alvi-Beade,Carretera,do Porto,128,36312,Vigo,986 24 03 36 / 986 24 03 63,Privada,90,www.alvibeade.es,"42,179232","-8,699723",03/04/2019
Vivenda Comunitaria Vivenzas Dori,Carretera,Porto,3,36312,Vigo,986 24 22 22,Privada,12,,"42,191518","-8,706156",08/05/2019
Fogar Residencial Coruxo,Avenida,Fragoselo,69,36330,Vigo,986 49 86 91,Privada,20,www.centroresidencialcoruxo.com,"42,187588","-8,771057",20/02/2015
Residencia municipal de mayores de Vila de Cruces,Avenida,da Residencia,s/n,36590,Vila de Cruces,986 59 26 40 / 696 99 76 64,Pública local,49,,"42,791616","-8,163216",17/07/2013
Centro Residencial Pontevedra,,Os Campos,21,36140,Vilaboa,986 67 90 05,Privada,193,www.residenciapontevedra.com,"42,393061","-8,637868",07/07/2017
Fogar Residencial Servisenior Vilagarcía,Avenida,As Carolinas,82,36600,Vilagarcía de Arousa,986 19 47 19,Privada,24,,"42,594076","-8,753151",29/01/2019
Fundación Asilo Hospitalillo - Residencia de ancianos Divina Pastora,Calle,Ramón López Piñeiro,11,36600,Vilagarcía de Arousa,986 50 19 02,Privada,102,www.acolle.com/mostrar_centro/11/residencia-ancianos-divina-pastora/,"42,598208","-8,763236",30/04/2019
