"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Araba/Álava, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Vivienda comunitaria María Teresa Landa,Avenida,Nuestra Señora de Estíbaliz,16 - bajo,01003,Vitoria-Gasteiz,945 27 78 84 / 686 48 39 90,Privada,12,,"42,843857","-2,663731",22/04/2015
Vivienda comunitaria Zirauntza,Calle,Eduardo Dato,31 - 1º B-D,01005,Vitoria-Gasteiz,945 13 38 10 / 687 45 00 26,Privada,12,www.residenciazirauntza.com,"42,843268","-2,672339",14/03/2018
Vivienda comunitaria Santa Clara,Calle,Manuel Iradier,27 - 1º D,01005,Vitoria-Gasteiz,945 13 15 56,Privada,7,,"42,842111","-2,670765",18/02/2014
Residencia 3ª edad San Antonio,Calle,Manuel Iradier,29 - 1º,01005,Vitoria-Gasteiz,945 14 81 25,Privada,14,,"42,842082","-2,670479",07/07/2017
Vivienda comunitaria Florida Etxea,Calle,Manuel Iradier,33 - 1º,01005,Vitoria-Gasteiz,945 20 43 03,Privada,14,,"42,841876","-2,668397",14/02/2014
Apartamentos para mayores San Antonio,Calle,San Antonio,28,01005,Vitoria-Gasteiz,945 16 11 83,Pública local,26,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,842139","-2,674579",15/07/2019
Residencia Lorea Adurtza,Plaza,de los Naipes,13 - 15,01006,Vitoria-Gasteiz,665 72 93 30 / 607 44 83 93,Privada,19,,"42,838406","-2,663721",07/02/2019
Apartamentos Santa María de Olárizu,Calle,Juan Bautista Gámiz,10 - 12,01006,Vitoria-Gasteiz,945 16 11 85,Pública local,64,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,838545","-2,664252",04/04/2019
Vivienda comunitaria Los Molinos,Calle,Los Molinos,2,01006,Vitoria-Gasteiz,945 16 16 20 / 945 16 16 21,Pública local,30,,"42,836913","-2,663539",08/04/2019
Residencia Albertia Campus,Calle,Nieves Cano,29 C - bajo dcha.,01006,Vitoria-Gasteiz,945 77 89 16,Privada,46,www.albertiacentros.com,"42,838427","-2,671530",04/04/2019
Caser Residencial Alto del Prado,Camino,Alto del Prado,s/n,01007,Vitoria-Gasteiz,945 15 42 15,Privada,158,www.caseresidencial.es/alto-del-prado,"42,837209","-2,692267",04/04/2019
Residencia Juan Pablo I,Calle,Portal de Lasarte,91,01007,Vitoria-Gasteiz,945 13 22 02,Privada sin fin de lucro,141,,"42,829043","-2,690845",04/04/2019
Hospital de Cuidados San Onofre,Calle,Salvatierrabide,9,01007,Vitoria-Gasteiz,945 14 21 00,Privada,62,www.hospitalsanonofre.com,"42,836937","-2,680485",11/04/2019
Residencia Jesús Guridi,Calle,San Prudencio,9 - 1º dcha.,01007,Vitoria-Gasteiz,945 23 25 62,Privada,16,,"42,844194","-2,673061",29/04/2019
Centro de atención a personas mayores Ariznabarra,Calle,Teodoro González de Zárate,14,01007,Vitoria-Gasteiz,945 15 09 60,Pública provincial,140,www.domusvi.es/residencia-mayores-alava-vitoria-gasteiz-ariznabarra,"42,839684","-2,695582",04/06/2019
Apartamentos Beato Tomás de Zumárraga,Calle,Beato Tomás de Zumárraga,1 - H,01008,Vitoria-Gasteiz,945 16 11 08,Pública local,40,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,849447","-2,676192",06/07/2017
Vivienda comunitaria Avenida Etxea,Avenida,Gasteiz,57 - 59 1º dcha.,01008,Vitoria-Gasteiz,945 00 99 44,Privada,14,,"42,849034","-2,681569",18/04/2017
Residencia Aitoa Etxea,Calle,Pedro Asúa,"53 - 55, 1º dcha. e izda.",01008,Vitoria-Gasteiz,945 22 76 87,Privada,19,,"42,846446","-2,690462",23/04/2019
Apartamentos tutelados de mayores Ramiro de Maeztu,Calle,Ramiro de Maeztu,21,01008,Vitoria-Gasteiz,945 16 11 80,Pública local,26,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,849593","-2,678348",07/07/2017
Residencia Ajuria,Calle,Serafín Ajuria,4,01008,Vitoria-Gasteiz,945 22 53 50,Pública provincial,108,www.araba.eus/cs/Satellite?c=IFBS_Centro_FA&cid=500002154406&language=es_ES&pageid=500002131297&pagename=IFBS%2FIFBS_Centro_FA%2FIFBS_centro,"42,849196","-2,684477",08/04/2019
Residencia Albertia Centro,Calle,Vicente Goicoechea,15,01008,Vitoria-Gasteiz,945 14 64 44,Privada,49,,"42,847136","-2,676486",03/04/2019
"Residencia Lorea - Txagorritxu, S. L.",Calle,José Achotegui,26 - 1º A,01009,Vitoria-Gasteiz,945 22 79 89,Privada,23,,"42,856510","-2,688998",09/04/2019
DomusVi Gazalbide,Calle,Juana Jugán,1,01009,Vitoria-Gasteiz,945 22 30 11,Privada,150,,"42,854950","-2,685212",18/07/2019
Residencia Txagorritxu,Calle,Méjico,11,01009,Vitoria-Gasteiz,945 24 49 00,Pública provincial,150,,"42,853371","-2,687826",10/04/2019
Apartamentos tutelados de mayores Bizia,Calle,Pablo Neruda,1 - 3,01009,Vitoria-Gasteiz,945 16 11 79,Pública local,24,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,852644","-2,689217",09/05/2018
Vivienda comunitaria psicogeriátrica,Calle,Pablo Neruda,5,01009,Vitoria-Gasteiz,945 22 54 31,Pública provincial,14,,"42,852837","-2,690153",10/04/2019
Apartamentos Blas de Otero,Calle,Amadis,1,01010,Vitoria-Gasteiz,945 16 16 67,Pública local,33,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,862258","-2,687452",08/05/2015
Residencia Roure,Calle,Jerónimo Roure,26 - bajo,01010,Vitoria-Gasteiz,945 30 35 21,Privada,24,www.residenciaroure.com,"42,851185","-2,694724",09/04/2019
Residencia Agure Zabalgana,Calle,Océano Atlántico,29 - 35,01010,Vitoria-Gasteiz,945 10 77 88,Privada,25,,"42,849409","-2,700431",08/04/2019
Residencia pscogeriátrica Lakua,Calle,Orio,2 - 4,01010,Vitoria-Gasteiz,945 17 82 27,Pública provincial,50,,"42,865083","-2,693110",10/04/2019
Residencia Lakua,Calle,Portal de Foronda,15 - bajo,01010,Vitoria-Gasteiz,945 06 86 11,Privada,16,,"42,860671","-2,683618",09/05/2018
Vivienda comunitaria Aitona,Calle,Río Urederra,33,01010,Vitoria-Gasteiz,945 19 74 35,Privada,9,,"42,867906","-2,702056",23/04/2019
Vivienda comunitaria Araba,Kalea,Brasil,6 - 1º,01012,Vitoria-Gasteiz,945 27 02 97,Privada,10,,"42,858901","-2,678583",18/02/2014
Residencia Zadorra,Calle,Iturrizabala,50,01013,Vitoria-Gasteiz,945 27 39 67,Pública provincial,100,,"42,876962","-2,677528",09/04/2019
Vivienda Comunitaria San Esteban de Betoño,Calle,Legazpi,62 - bajo,01013,Vitoria-Gasteiz,945 25 52 06,Privada,14,,"42,862451","-2,654512",16/04/2019
Vivienda comunitaria Ikatzbizi,Avenida,Reina Sofía,110 - bajo,01015,Vitoria-Gasteiz,945 24 42 26,Privada,14,,"42,841594","-2,702080",01/06/2015
Vivienda comunitaria 3ª edad Residencia Panticosa,,Astegieta,4,01191,Vitoria-Gasteiz,945 25 60 51,Privada,9,,"42,861385","-2,731210",18/04/2017
Residencia Zelaizabal,Calle,Arkaute,24,01192,Vitoria-Gasteiz,945 27 29 47,Privada,26,residenciazelaizabal.com,"42,850644","-2,634362",09/04/2019
Residencia LOVI,Calle,Elorriaga,46 - bajo,01192,Vitoria-Gasteiz,945 27 02 63,Privada,36,,"42,849624","-2,642058",08/04/2019
Residencia Elorri,Calle,Elorriaga,42,01192,Vitoria-Gasteiz,945 20 47 24,Privada,39,,"42,849778","-2,639965",06/07/2017
Residencia Casa Vasca,Calle,Elorriaga,21 A,01192,Vitoria-Gasteiz,945 33 65 22,Privada,16,,"42,851694","-2,639190",10/07/2017
Vivienda comunitaria Carema Residencial,,Junguitu,16 A,01192,Vitoria-Gasteiz,945 29 34 20,Privada,8,www.carema.es,"42,871922","-2,596708",03/04/2019
Residencia Arcaya,,Arcaya,19,01193,Vitoria-Gasteiz,945 29 31 63,Privada,22,,"42,841422","-2,634129",09/04/2019
Residencia Ascarza,Calle,Ascartza,7,01193,Vitoria-Gasteiz,945 29 35 35,Privada,32,,"42,840953","-2,612413",06/02/2019
Residencia Betania Garden,Calle,Gardelegui,24,01194,Vitoria-Gasteiz,945 71 61 80,Privada,24,,"42,824514","-2,676992",10/05/2018
Residencia Lasarte Amets,Calle,Mendia,20,01194,Vitoria-Gasteiz,945 33 84 07 / 630 62 52 03,Privada,19,,"42,816595","-2,691847",06/02/2019
Vivienda comunitaria Otazu,,Otazu,37,01194,Vitoria-Gasteiz,945 29 35 56,Privada,14,www.residenciaotazu.com,"42,831077","-2,628383",15/04/2019
Residencia Ariñez,Calle,Entzia,26,01195,Vitoria-Gasteiz,945 35 41 46,Privada,58,www.arinezresidencia.com,"42,826368","-2,755124",03/04/2019
La Saleta Albertia,,Miñano Mayor,23,01510,Vitoria-Gasteiz,945 12 44 25,Privada,91,www.albertiaetxea.com,"42,917257","-2,645510",30/04/2019
Vivienda comunitaria Ullibarri Arrazua,Calle,Ullibarri - Arrazua,27,01520,Vitoria-Gasteiz,945 29 34 17,Privada,11,www.residenciaullibarri.com,"42,887326","-2,592633",08/04/2019
Residencia Yécora,Avenida,Estíbaliz,7,01311,Yécora/Iekora,945 60 11 32 / 945 62 25 06,Privada,36,www.residenciayecora.org,"42,567122","-2,468971",09/04/2019
Vivienda comunitaria Murua,Calle,Telleria,6,01138,Zigoitia,945 22 52 26,Privada,8,residenciamurua.com,"42,977737","-2,736029",18/04/2017
Residencia El Jardín 2,Calle,Kirkirgan,5,01140,Zigoitia,945 46 00 81,Privada,24,,"42,914417","-2,711023",14/02/2014
Residencia Gorbea,Carretera,de Domaiquia,8,01130,Zuia,945 43 04 45,Privada,68,www.residenciagorbea.com,"42,953872","-2,817402",30/04/2019
Residencia Purísima Concepción,Calle,Domingo de Sautu,7 - bajo,01130,Zuia,945 43 00 08 / 945 46 26 16,Privada sin fin de lucro,40,,"42,956415","-2,815592",08/04/2019
Residencia Orobide,Calle,Domingo de Sautu,54,01130,Zuia,945 43 09 31,Privada,43,,"42,957114","-2,824688",14/02/2014
