"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Albacete, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última modificación:
Residencia Santa Teresa Jornet,Calle,Melchor de Macanaz,40,02400,Hellín,967 30 00 04,Privada sin fin de lucro,82,,"38,509980","-1,699234",07/06/2011
Residencia de mayores El Jardín,Avenida,Juan Carlos I,3,02694,Higueruela,967 28 50 30,Pública autonómica,56,,"38,961441","-1,443602",04/09/2019
Residencia de Mayores Las Viñas,Calle,Ciudad Real,15,02230,Madrigueras,967 54 53 31,Pública autonómica,49,,"39,230936","-1,802188",04/04/2019
Residencia de Mayores La Esperanza,Calle,Navas,2,02240,Mahora,967 49 43 52,Privada,48,www.residenciasalcalamahora.es,"39,210895","-1,721437",04/04/2019
Residencia de Ancianos La Milagrosa,Avenida,Joaquín Piqueras,2,02650,Montealegre del Castillo,967 33 61 61 / 967 33 60 18,Privada sin fin de lucro,61,,"38,789874","-1,324629",05/06/2015
Vivienda Tutelada de Mayores de Munera,Calle,Bonifacio Sotos,2,02612,Munera,967 37 20 01 / 967 37 31 63,Pública local,8,,"39,039656","-2,483062",04/03/2019
Vivienda tutelada de Pozohondo,Calle,Parque,6,02141,Pozohondo,967 20 50 01,Pública local,8,,"38,719486","-1,909118",02/18/2015
Residencia de 3ª Edad Calares del Mundo,Calle,Collado de la Era,6,02450,Riópar,967 43 53 26,Pública autonómica,32,,"38,495444","-2,416963",04/06/2018
Vivienda tutelada municipal de Robledo,Avenida,Ayuntamiento,2,02340,Robledo,967 58 11 52,Pública local,8,www.robledo.es/index.php?option=com_content&view=article&id=74:vivienda-de-mayores&catid=47:servicios&Itemid=80,"38,759639","-2,449217",04/03/2019
Residencia de Mayores Fonda Oriental,Avenida,Juan García González,60,02630,Roda (La),967 54 86 88,Privada,176,www.fondaoriental.com,"39,199844","-2,162565",09/13/2017
Residencia Municipal de Mayores Virgen de los Remedios,Calle,Pedro Carrasco Bravo,4,02630,Roda (La),967 44 00 51,Pública local,45,,"39,207297","-2,158886",04/08/2019
Residencia La Paz,Avenida,de la Constitución,59,02316,Salobre,967 39 32 92,Pública autonómica,43,,"38,594891","-2,552516",04/09/2019
Residencia de Mayores Noguera del Arco,Calle,Pintor Pareja,7,02435,Socovos,967 42 09 09,Pública local,30,,"38,331364","-1,985180",04/03/2019
Residencia de mayores San Bartolomé,Calle,Jacinto Guerrero,25,02100,Tarazona de la Mancha,967 54 40 10 / 648 18 39 60 / 648 18 39 61,Privada,152,www.grupocentenari.com/es/-1/Albacete.html,"39,258330","-1,915171",05/06/2015
Gerovida Tobarra,Calle,Pérez Pastor,36,02500,Tobarra,967 54 36 40 / 967 54 36 43,Privada,160,gerovida.es/centros/albacete/centro-gerovida-en-tobarra,"38,591227","-1,685950",09/08/2017
Residencia de mayores Los Quiñones,Calle,Eras,4,02315,Vianos,967 38 04 09 / 680 93 01 61,Pública autonómica,16,,"38,633351","-2,502345",04/09/2019
Viviendas Tuteladas de Mayores de Villamalea,Calle,Mercedes,9,02270,Villamalea,967 48 60 83,Pública local,10,,"39,359377","-1,594126",07/25/2013
Residencia de mayores El Robledillo,Avenida,de La Mancha,3,02600,Villarrobledo,967 13 78 25,Pública autonómica,120,residencias.ilunion.com/servicios/centros-de-dia-estancias-diurnas/castilla-la-mancha-albacete/villarrobledo-residencia-para,"39,269800","-2,618950",04/08/2019
Residencia Nuestra Señora de la Caridad,Paseo,de la Virgen,s/n,02600,Villarrobledo,967 14 00 87,Privada,72,residenciavillarrobledo.es,"39,272742","-2,605259",04/05/2019
Vivienda municipal de Villarrobledo,Calle,Tinajeros,42,02600,Villarrobledo,967 14 62 64,Pública local,10,,"39,270469","-2,607196",04/25/2019
Residencia de Ancianos Fundación Honorato Fernandez,Carretera,de Hellín,33,02480,Yeste,967 43 10 26,Privada,29,,"38,368616","-2,315623",04/05/2019
