"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","NURSE","TOT","1000HAB","A","2001",9.33,
"DNK","NURSE","TOT","1000HAB","A","2002",9.44,
"DNK","NURSE","TOT","1000HAB","A","2003",9.29,
"DNK","NURSE","TOT","1000HAB","A","2004",9.44,
"DNK","NURSE","TOT","1000HAB","A","2005",9.59,
"DNK","NURSE","TOT","1000HAB","A","2006",9.55,
"DNK","NURSE","TOT","1000HAB","A","2007",9.3,
"DNK","NURSE","TOT","1000HAB","A","2008",9.55,
"DNK","NURSE","TOT","1000HAB","A","2009",9.8,
"DNK","NURSE","TOT","1000HAB","A","2010",9.82,
"DNK","NURSE","TOT","1000HAB","A","2011",9.87,
"DNK","NURSE","TOT","1000HAB","A","2012",9.96,
"DNK","NURSE","TOT","1000HAB","A","2013",9.95,
"DNK","NURSE","TOT","1000HAB","A","2014",9.93,
"DNK","NURSE","TOT","1000HAB","A","2015",9.92,
"DNK","NURSE","TOT","1000HAB","A","2016",9.95,
"DNK","NURSE","TOT","1000HAB","A","2017",10.03,
"DNK","NURSE","TOT","1000HAB","A","2018",10.1,
"FIN","NURSE","TOT","1000HAB","A","2000",10.71,
"FIN","NURSE","TOT","1000HAB","A","2004",12.13,
"FIN","NURSE","TOT","1000HAB","A","2005",12.57,
"FIN","NURSE","TOT","1000HAB","A","2006",13.15,
"FIN","NURSE","TOT","1000HAB","A","2007",13.4,
"FIN","NURSE","TOT","1000HAB","A","2008",13.14,
"FIN","NURSE","TOT","1000HAB","A","2009",13.56,
"FIN","NURSE","TOT","1000HAB","A","2010",13.86,
"FIN","NURSE","TOT","1000HAB","A","2011",14.08,
"FIN","NURSE","TOT","1000HAB","A","2012",14.2,
"FIN","NURSE","TOT","1000HAB","A","2013",14.18,
"FIN","NURSE","TOT","1000HAB","A","2014",14.26,
"FRA","NURSE","TOT","1000HAB","A","1998",6.22,
"FRA","NURSE","TOT","1000HAB","A","1999",6.45,
"FRA","NURSE","TOT","1000HAB","A","2000",6.66,
"FRA","NURSE","TOT","1000HAB","A","2001",6.84,
"FRA","NURSE","TOT","1000HAB","A","2002",7,
"FRA","NURSE","TOT","1000HAB","A","2003",7.19,
"FRA","NURSE","TOT","1000HAB","A","2004",7.38,
"FRA","NURSE","TOT","1000HAB","A","2005",7.59,
"FRA","NURSE","TOT","1000HAB","A","2006",7.78,
"FRA","NURSE","TOT","1000HAB","A","2007",7.64,"B"
"FRA","NURSE","TOT","1000HAB","A","2008",7.91,
"FRA","NURSE","TOT","1000HAB","A","2009",8.19,
"FRA","NURSE","TOT","1000HAB","A","2010",8.45,
"FRA","NURSE","TOT","1000HAB","A","2011",8.71,
"FRA","NURSE","TOT","1000HAB","A","2012",9.1,
"FRA","NURSE","TOT","1000HAB","A","2013",9.38,
"FRA","NURSE","TOT","1000HAB","A","2014",9.62,
"FRA","NURSE","TOT","1000HAB","A","2015",9.93,
"FRA","NURSE","TOT","1000HAB","A","2016",10.21,
"FRA","NURSE","TOT","1000HAB","A","2017",10.48,
"FRA","NURSE","TOT","1000HAB","A","2018",10.79,
"DEU","NURSE","TOT","1000HAB","A","2000",9.99,
"DEU","NURSE","TOT","1000HAB","A","2001",10.07,
"DEU","NURSE","TOT","1000HAB","A","2002",10.18,
"DEU","NURSE","TOT","1000HAB","A","2003",10.38,
"DEU","NURSE","TOT","1000HAB","A","2004",10.49,
"DEU","NURSE","TOT","1000HAB","A","2005",10.65,
"DEU","NURSE","TOT","1000HAB","A","2006",10.77,
"DEU","NURSE","TOT","1000HAB","A","2007",10.92,
"DEU","NURSE","TOT","1000HAB","A","2008",11.13,
"DEU","NURSE","TOT","1000HAB","A","2009",11.42,
"DEU","NURSE","TOT","1000HAB","A","2010",11.52,
"DEU","NURSE","TOT","1000HAB","A","2011",11.87,
"DEU","NURSE","TOT","1000HAB","A","2012",11.96,
"DEU","NURSE","TOT","1000HAB","A","2013",12.34,
"DEU","NURSE","TOT","1000HAB","A","2014",12.55,
"DEU","NURSE","TOT","1000HAB","A","2015",12.65,
"DEU","NURSE","TOT","1000HAB","A","2016",12.82,
"DEU","NURSE","TOT","1000HAB","A","2017",13.13,
"DEU","NURSE","TOT","1000HAB","A","2018",13.22,"P"
"GRC","NURSE","TOT","1000HAB","A","1999",2.64,"D"
"GRC","NURSE","TOT","1000HAB","A","2000",2.75,"D"
"GRC","NURSE","TOT","1000HAB","A","2001",2.95,"D"
"GRC","NURSE","TOT","1000HAB","A","2002",3.31,"D"
"GRC","NURSE","TOT","1000HAB","A","2003",3.32,"D"
"GRC","NURSE","TOT","1000HAB","A","2004",3.3,"D"
"GRC","NURSE","TOT","1000HAB","A","2005",3.34,"D"
"GRC","NURSE","TOT","1000HAB","A","2006",3.25,"D"
"GRC","NURSE","TOT","1000HAB","A","2007",3.23,"D"
"GRC","NURSE","TOT","1000HAB","A","2008",3.27,"D"
"GRC","NURSE","TOT","1000HAB","A","2009",3.36,"D"
"GRC","NURSE","TOT","1000HAB","A","2010",3.45,"D"
"GRC","NURSE","TOT","1000HAB","A","2011",3.47,"D"
"GRC","NURSE","TOT","1000HAB","A","2012",3.34,"D"
"GRC","NURSE","TOT","1000HAB","A","2013",3.29,"D"
"GRC","NURSE","TOT","1000HAB","A","2014",3.23,"D"
"GRC","NURSE","TOT","1000HAB","A","2015",3.21,"D"
"GRC","NURSE","TOT","1000HAB","A","2016",3.25,"D"
"GRC","NURSE","TOT","1000HAB","A","2017",3.31,"D"
"GRC","NURSE","TOT","1000HAB","A","2018",3.37,"D"
"HUN","NURSE","TOT","1000HAB","A","1990",5.19,
"HUN","NURSE","TOT","1000HAB","A","1991",4.87,
"HUN","NURSE","TOT","1000HAB","A","1992",5.12,
"HUN","NURSE","TOT","1000HAB","A","1993",5.44,
"HUN","NURSE","TOT","1000HAB","A","1994",5.44,
"HUN","NURSE","TOT","1000HAB","A","1995",5.35,
"HUN","NURSE","TOT","1000HAB","A","1996",5.41,
"HUN","NURSE","TOT","1000HAB","A","1997",5.33,
"HUN","NURSE","TOT","1000HAB","A","1998",5.47,
"HUN","NURSE","TOT","1000HAB","A","1999",5.37,
"HUN","NURSE","TOT","1000HAB","A","2000",5.28,"B"
"HUN","NURSE","TOT","1000HAB","A","2001",5.52,
"HUN","NURSE","TOT","1000HAB","A","2002",5.68,
"HUN","NURSE","TOT","1000HAB","A","2003",5.77,
"HUN","NURSE","TOT","1000HAB","A","2004",5.78,
"HUN","NURSE","TOT","1000HAB","A","2005",5.95,
"HUN","NURSE","TOT","1000HAB","A","2006",6.2,
"HUN","NURSE","TOT","1000HAB","A","2007",5.95,
"HUN","NURSE","TOT","1000HAB","A","2008",6.15,
"HUN","NURSE","TOT","1000HAB","A","2009",6.21,
"HUN","NURSE","TOT","1000HAB","A","2010",6.21,
"HUN","NURSE","TOT","1000HAB","A","2011",6.21,
"HUN","NURSE","TOT","1000HAB","A","2012",6.32,
"HUN","NURSE","TOT","1000HAB","A","2013",6.43,
"HUN","NURSE","TOT","1000HAB","A","2014",6.41,
"HUN","NURSE","TOT","1000HAB","A","2015",6.47,
"HUN","NURSE","TOT","1000HAB","A","2016",6.44,
"HUN","NURSE","TOT","1000HAB","A","2017",6.51,"B"
"HUN","NURSE","TOT","1000HAB","A","2018",6.62,
"ISL","NURSE","TOT","1000HAB","A","1980",8.89,
"ISL","NURSE","TOT","1000HAB","A","1981",9.34,
"ISL","NURSE","TOT","1000HAB","A","1982",9.98,
"ISL","NURSE","TOT","1000HAB","A","1983",10.71,
"ISL","NURSE","TOT","1000HAB","A","1984",11.01,
"ISL","NURSE","TOT","1000HAB","A","1985",11.1,
"ISL","NURSE","TOT","1000HAB","A","1986",11.43,
"ISL","NURSE","TOT","1000HAB","A","1987",11.77,
"ISL","NURSE","TOT","1000HAB","A","1988",11.87,
"ISL","NURSE","TOT","1000HAB","A","1989",12.07,
"ISL","NURSE","TOT","1000HAB","A","1990",12.48,
"ISL","NURSE","TOT","1000HAB","A","1991",12.51,
"ISL","NURSE","TOT","1000HAB","A","1992",12.46,
"ISL","NURSE","TOT","1000HAB","A","1993",12.75,
"ISL","NURSE","TOT","1000HAB","A","1994",12.86,
"ISL","NURSE","TOT","1000HAB","A","1995",13.1,
"ISL","NURSE","TOT","1000HAB","A","1996",13.1,
"ISL","NURSE","TOT","1000HAB","A","1997",13.11,
"ISL","NURSE","TOT","1000HAB","A","1998",13.5,
"ISL","NURSE","TOT","1000HAB","A","1999",13.4,
"ISL","NURSE","TOT","1000HAB","A","2000",13.26,
"ISL","NURSE","TOT","1000HAB","A","2001",13.14,
"ISL","NURSE","TOT","1000HAB","A","2002",13.27,
"ISL","NURSE","TOT","1000HAB","A","2003",13.64,
"ISL","NURSE","TOT","1000HAB","A","2004",13.69,
"ISL","NURSE","TOT","1000HAB","A","2005",13.97,
"ISL","NURSE","TOT","1000HAB","A","2006",13.72,
"ISL","NURSE","TOT","1000HAB","A","2007",14,
"ISL","NURSE","TOT","1000HAB","A","2008",14.89,
"ISL","NURSE","TOT","1000HAB","A","2009",15.29,
"ISL","NURSE","TOT","1000HAB","A","2010",14.54,
"ISL","NURSE","TOT","1000HAB","A","2011",14.82,"E"
"ISL","NURSE","TOT","1000HAB","A","2012",15.16,
"ISL","NURSE","TOT","1000HAB","A","2013",15.45,
"ISL","NURSE","TOT","1000HAB","A","2014",15.33,
"ISL","NURSE","TOT","1000HAB","A","2015",15.45,
"ISL","NURSE","TOT","1000HAB","A","2016",14.22,
"ISL","NURSE","TOT","1000HAB","A","2017",14.5,
"ISL","NURSE","TOT","1000HAB","A","2018",14.67,
"ISL","NURSE","TOT","1000HAB","A","2019",15.52,
"IRL","NURSE","TOT","1000HAB","A","2004",12.33,
"IRL","NURSE","TOT","1000HAB","A","2005",12.21,
"IRL","NURSE","TOT","1000HAB","A","2006",12.54,
"IRL","NURSE","TOT","1000HAB","A","2007",13.63,
"IRL","NURSE","TOT","1000HAB","A","2008",13.55,
"IRL","NURSE","TOT","1000HAB","A","2009",12.93,
"IRL","NURSE","TOT","1000HAB","A","2010",13.45,
"IRL","NURSE","TOT","1000HAB","A","2011",12.94,
"IRL","NURSE","TOT","1000HAB","A","2012",12.99,
"IRL","NURSE","TOT","1000HAB","A","2013",12.55,
"IRL","NURSE","TOT","1000HAB","A","2014",12.18,
"IRL","NURSE","TOT","1000HAB","A","2015",12.35,
"IRL","NURSE","TOT","1000HAB","A","2016",11.56,
"IRL","NURSE","TOT","1000HAB","A","2017",12.16,
"IRL","NURSE","TOT","1000HAB","A","2018",12.88,
"JPN","NURSE","TOT","1000HAB","A","2002",8.43,
"JPN","NURSE","TOT","1000HAB","A","2004",8.79,
"JPN","NURSE","TOT","1000HAB","A","2006",9.14,
"JPN","NURSE","TOT","1000HAB","A","2008",9.58,
"JPN","NURSE","TOT","1000HAB","A","2010",10.11,
"JPN","NURSE","TOT","1000HAB","A","2012",10.54,
"JPN","NURSE","TOT","1000HAB","A","2014",10.96,
"JPN","NURSE","TOT","1000HAB","A","2016",11.34,
"JPN","NURSE","TOT","1000HAB","A","2018",11.76,
"KOR","NURSE","TOT","1000HAB","A","1997",2.74,
"KOR","NURSE","TOT","1000HAB","A","1998",2.77,
"KOR","NURSE","TOT","1000HAB","A","1999",2.92,
"KOR","NURSE","TOT","1000HAB","A","2000",2.98,
"KOR","NURSE","TOT","1000HAB","A","2001",3.2,
"KOR","NURSE","TOT","1000HAB","A","2002",3.43,
"KOR","NURSE","TOT","1000HAB","A","2003",3.54,
"KOR","NURSE","TOT","1000HAB","A","2004",3.8,
"KOR","NURSE","TOT","1000HAB","A","2005",3.84,
"KOR","NURSE","TOT","1000HAB","A","2006",3.98,
"KOR","NURSE","TOT","1000HAB","A","2007",4.14,
"KOR","NURSE","TOT","1000HAB","A","2008",4.32,
"KOR","NURSE","TOT","1000HAB","A","2009",4.46,
"KOR","NURSE","TOT","1000HAB","A","2010",4.61,
"KOR","NURSE","TOT","1000HAB","A","2011",4.71,
"KOR","NURSE","TOT","1000HAB","A","2012",4.83,
"KOR","NURSE","TOT","1000HAB","A","2013",5.2,
"KOR","NURSE","TOT","1000HAB","A","2014",5.57,
"KOR","NURSE","TOT","1000HAB","A","2015",5.94,
"KOR","NURSE","TOT","1000HAB","A","2016",6.82,"B"
"KOR","NURSE","TOT","1000HAB","A","2017",6.94,
"KOR","NURSE","TOT","1000HAB","A","2018",7.24,
"LUX","NURSE","TOT","1000HAB","A","1995",6.95,
"LUX","NURSE","TOT","1000HAB","A","1996",7.16,
"LUX","NURSE","TOT","1000HAB","A","1997",7.32,
"LUX","NURSE","TOT","1000HAB","A","1998",7.25,
"LUX","NURSE","TOT","1000HAB","A","1999",7.31,
"LUX","NURSE","TOT","1000HAB","A","2000",7.38,
"LUX","NURSE","TOT","1000HAB","A","2001",7.47,
"LUX","NURSE","TOT","1000HAB","A","2002",7.76,
"LUX","NURSE","TOT","1000HAB","A","2003",8.94,"B"
"LUX","NURSE","TOT","1000HAB","A","2004",9.09,
"LUX","NURSE","TOT","1000HAB","A","2005",10.97,"B"
"LUX","NURSE","TOT","1000HAB","A","2006",10.94,
"LUX","NURSE","TOT","1000HAB","A","2009",11.12,
"LUX","NURSE","TOT","1000HAB","A","2010",11.05,"B"
"LUX","NURSE","TOT","1000HAB","A","2011",11.27,
"LUX","NURSE","TOT","1000HAB","A","2012",11.92,
"LUX","NURSE","TOT","1000HAB","A","2013",11.93,
"LUX","NURSE","TOT","1000HAB","A","2014",11.97,
"LUX","NURSE","TOT","1000HAB","A","2015",11.91,
"LUX","NURSE","TOT","1000HAB","A","2016",11.72,
"LUX","NURSE","TOT","1000HAB","A","2017",11.72,
"MEX","NURSE","TOT","1000HAB","A","1990",1.75,
"MEX","NURSE","TOT","1000HAB","A","1991",1.89,
"MEX","NURSE","TOT","1000HAB","A","1992",1.99,
"MEX","NURSE","TOT","1000HAB","A","1993",2.03,
"MEX","NURSE","TOT","1000HAB","A","1994",2.09,
"MEX","NURSE","TOT","1000HAB","A","1995",2.13,
"MEX","NURSE","TOT","1000HAB","A","1996",2.12,
"MEX","NURSE","TOT","1000HAB","A","1997",2.1,
"MEX","NURSE","TOT","1000HAB","A","1998",2.14,
"MEX","NURSE","TOT","1000HAB","A","1999",2.19,
"MEX","NURSE","TOT","1000HAB","A","2000",2.23,
"MEX","NURSE","TOT","1000HAB","A","2001",2.23,
"MEX","NURSE","TOT","1000HAB","A","2002",2.23,
"MEX","NURSE","TOT","1000HAB","A","2003",2.14,
"MEX","NURSE","TOT","1000HAB","A","2004",2.12,
"MEX","NURSE","TOT","1000HAB","A","2005",2.21,
"MEX","NURSE","TOT","1000HAB","A","2006",2.23,
"MEX","NURSE","TOT","1000HAB","A","2007",2.29,
"MEX","NURSE","TOT","1000HAB","A","2008",2.32,
"MEX","NURSE","TOT","1000HAB","A","2009",2.37,
"MEX","NURSE","TOT","1000HAB","A","2010",2.42,
"MEX","NURSE","TOT","1000HAB","A","2011",2.52,
"MEX","NURSE","TOT","1000HAB","A","2012",2.56,
"MEX","NURSE","TOT","1000HAB","A","2013",2.62,
"MEX","NURSE","TOT","1000HAB","A","2014",2.69,
"MEX","NURSE","TOT","1000HAB","A","2015",2.77,
"MEX","NURSE","TOT","1000HAB","A","2016",2.87,
"MEX","NURSE","TOT","1000HAB","A","2017",2.87,
"MEX","NURSE","TOT","1000HAB","A","2018",2.87,
"NLD","NURSE","TOT","1000HAB","A","1999",10.15,
"NLD","NURSE","TOT","1000HAB","A","2000",10.29,
"NLD","NURSE","TOT","1000HAB","A","2001",10.6,
"NLD","NURSE","TOT","1000HAB","A","2002",10.87,
"NLD","NURSE","TOT","1000HAB","A","2003",11.11,
"NLD","NURSE","TOT","1000HAB","A","2004",11.22,
"NLD","NURSE","TOT","1000HAB","A","2005",11.37,
"NLD","NURSE","TOT","1000HAB","A","2006",11.41,
"NLD","NURSE","TOT","1000HAB","A","2007",11.39,
"NLD","NURSE","TOT","1000HAB","A","2008",11.67,
"NLD","NURSE","TOT","1000HAB","A","2009",11.66,
"NLD","NURSE","TOT","1000HAB","A","2010",11.76,
"NLD","NURSE","TOT","1000HAB","A","2011",11.91,
"NLD","NURSE","TOT","1000HAB","A","2012",12.13,
"NLD","NURSE","TOT","1000HAB","A","2013",12.23,
"NZL","NURSE","TOT","1000HAB","A","2005",9.03,
"NZL","NURSE","TOT","1000HAB","A","2006",8.84,
"NZL","NURSE","TOT","1000HAB","A","2007",9.22,
"NZL","NURSE","TOT","1000HAB","A","2008",9.77,
"NZL","NURSE","TOT","1000HAB","A","2009",9.73,
"NZL","NURSE","TOT","1000HAB","A","2010",10.06,
"NZL","NURSE","TOT","1000HAB","A","2011",10.12,"B"
"NZL","NURSE","TOT","1000HAB","A","2012",10.02,
"NZL","NURSE","TOT","1000HAB","A","2013",10.07,
"NZL","NURSE","TOT","1000HAB","A","2014",10.12,
"NZL","NURSE","TOT","1000HAB","A","2015",10.28,
"NZL","NURSE","TOT","1000HAB","A","2016",10.32,
"NZL","NURSE","TOT","1000HAB","A","2017",10.23,
"NZL","NURSE","TOT","1000HAB","A","2018",10.34,
"NOR","NURSE","TOT","1000HAB","A","2002",12.13,
"NOR","NURSE","TOT","1000HAB","A","2003",12.76,
"NOR","NURSE","TOT","1000HAB","A","2004",13.24,
"NOR","NURSE","TOT","1000HAB","A","2005",13.64,
"NOR","NURSE","TOT","1000HAB","A","2006",13.92,
"NOR","NURSE","TOT","1000HAB","A","2007",13.94,
"NOR","NURSE","TOT","1000HAB","A","2008",14,
"NOR","NURSE","TOT","1000HAB","A","2009",15.93,"B"
"NOR","NURSE","TOT","1000HAB","A","2010",16.13,
"NOR","NURSE","TOT","1000HAB","A","2011",16.4,
"NOR","NURSE","TOT","1000HAB","A","2012",16.53,
"NOR","NURSE","TOT","1000HAB","A","2013",16.67,
"NOR","NURSE","TOT","1000HAB","A","2014",16.89,
"NOR","NURSE","TOT","1000HAB","A","2015",17.34,"B"
"NOR","NURSE","TOT","1000HAB","A","2016",17.49,
"NOR","NURSE","TOT","1000HAB","A","2017",17.67,
"NOR","NURSE","TOT","1000HAB","A","2018",17.74,
"NOR","NURSE","TOT","1000HAB","A","2019",17.97,
"POL","NURSE","TOT","1000HAB","A","1980",4.41,
"POL","NURSE","TOT","1000HAB","A","1981",4.49,
"POL","NURSE","TOT","1000HAB","A","1982",4.53,
"POL","NURSE","TOT","1000HAB","A","1983",4.61,
"POL","NURSE","TOT","1000HAB","A","1984",4.66,
"POL","NURSE","TOT","1000HAB","A","1985",4.83,
"POL","NURSE","TOT","1000HAB","A","1986",4.98,
"POL","NURSE","TOT","1000HAB","A","1987",5.09,
"POL","NURSE","TOT","1000HAB","A","1988",5.13,
"POL","NURSE","TOT","1000HAB","A","1989",5.21,
"POL","NURSE","TOT","1000HAB","A","1990",5.45,
"POL","NURSE","TOT","1000HAB","A","1991",5.33,
"POL","NURSE","TOT","1000HAB","A","1992",5.31,
"POL","NURSE","TOT","1000HAB","A","1993",5.3,
"POL","NURSE","TOT","1000HAB","A","1994",5.41,
"POL","NURSE","TOT","1000HAB","A","1995",5.48,
"POL","NURSE","TOT","1000HAB","A","1996",5.57,
"POL","NURSE","TOT","1000HAB","A","1997",5.62,
"POL","NURSE","TOT","1000HAB","A","1998",5.51,
